comment_id,comment_text,segmented_text,stemmed_segmented_text,true_aspect,predicted_aspect,similarity_score
141,Dulu tarif saya ini golongan 1.3 pas ada perubahan tarif kenapa tiba-tiba di ubah menjadi 2.1 padahal rumah saya juga ada tulisan KELUARGA MISKIN yang dari pemerintah lantai juga dari tanah dan juga rumah saya tidak tingkat atau berlantai 2 juga tidak dibuat kos atau kontrakan padahal tetangga saya semuanya tarif golongannya 1.3 emang ada yg 2.1 itupun dibuat kos atau kontrak sedangkan saya kan tidak kalau lapor ke PDAM ujung-ujungnya nanti petugas kemari di cek disuruh ganti meteran yang bayarnya juga gak murah tolong dong di cek petugas keliling meteran itu kenapa sih harus di ubah kan saya bayar nya juga jadi mahal paling sedikit saya kena itu 100 RB yang tetangga saya kena padahal rata2 cuma 20 ribu atau 25 ribu apalagi ini untuk daerah tambak asri yang notaben kebanyakan tarifnya golongan 1.3,padahal rumah ada tulisan keluarga miskin pemerintah lantai tanah rumah tidak berlantai tidak kos kontrakan,padahal rumah ada tulis keluarga miskin perintah lantai tanah rumah tidak lantai tidak kos kontra,Lainnya,Air Tidak Mengalir,0.2868467414903289
141,Dulu tarif saya ini golongan 1.3 pas ada perubahan tarif kenapa tiba-tiba di ubah menjadi 2.1 padahal rumah saya juga ada tulisan KELUARGA MISKIN yang dari pemerintah lantai juga dari tanah dan juga rumah saya tidak tingkat atau berlantai 2 juga tidak dibuat kos atau kontrakan padahal tetangga saya semuanya tarif golongannya 1.3 emang ada yg 2.1 itupun dibuat kos atau kontrak sedangkan saya kan tidak kalau lapor ke PDAM ujung-ujungnya nanti petugas kemari di cek disuruh ganti meteran yang bayarnya juga gak murah tolong dong di cek petugas keliling meteran itu kenapa sih harus di ubah kan saya bayar nya juga jadi mahal paling sedikit saya kena itu 100 RB yang tetangga saya kena padahal rata2 cuma 20 ribu atau 25 ribu apalagi ini untuk daerah tambak asri yang notaben kebanyakan tarifnya golongan 1.3,sedangkan kan tidak lapor pdam ujung ujung petugas kemari cek suruh ganti meter bayar tidak murah cek petugas keliling meter sih harus ubah kan bayar nya mahal paling sedikit kena tetangga kena,sedang kan tidak lapor pdam ujung ujung tugas kemari cek suruh ganti meter bayar tidak murah cek tugas keliling meter sih harus ubah kan bayar nya mahal paling sedikit kena tetangga kena,Harga,Meteran (Macet/Bermasalah),0.2628971074218648
141,Dulu tarif saya ini golongan 1.3 pas ada perubahan tarif kenapa tiba-tiba di ubah menjadi 2.1 padahal rumah saya juga ada tulisan KELUARGA MISKIN yang dari pemerintah lantai juga dari tanah dan juga rumah saya tidak tingkat atau berlantai 2 juga tidak dibuat kos atau kontrakan padahal tetangga saya semuanya tarif golongannya 1.3 emang ada yg 2.1 itupun dibuat kos atau kontrak sedangkan saya kan tidak kalau lapor ke PDAM ujung-ujungnya nanti petugas kemari di cek disuruh ganti meteran yang bayarnya juga gak murah tolong dong di cek petugas keliling meteran itu kenapa sih harus di ubah kan saya bayar nya juga jadi mahal paling sedikit saya kena itu 100 RB yang tetangga saya kena padahal rata2 cuma 20 ribu atau 25 ribu apalagi ini untuk daerah tambak asri yang notaben kebanyakan tarifnya golongan 1.3,padahal daerah tambak asri perhatian kebanyakan tarif golong .,padahal daerah tambak asri perhati banyak tarif golong .,Harga,Perubahan Kode Tarif,0.34975736490597525
143,"Saya sudah bayar untuk penggantian meteran air yg hilang,tapi tidak dipasang2 alasannya karena stop kran nya kosong..dan ditanyai kira2 sampe kapan tapi tdk tau..disuruh beli sendiri..sudah bayar denda meteran hilang mahal ini disuruh beli stop kran sendiri.gmn ya pelayanannya ini:smirking_face: @pdamsuryasembada","sudah bayar pergantian meter air hilang ,","sudah bayar ganti meter air hilang ,",Meteran (Macet/Bermasalah),Air Tidak Mengalir,0.6464895035024661
143,"Saya sudah bayar untuk penggantian meteran air yg hilang,tapi tidak dipasang2 alasannya karena stop kran nya kosong..dan ditanyai kira2 sampe kapan tapi tdk tau..disuruh beli sendiri..sudah bayar denda meteran hilang mahal ini disuruh beli stop kran sendiri.gmn ya pelayanannya ini:smirking_face: @pdamsuryasembada",tapi tidak pasang alasan,tapi tidak pasang alas,Pemasangan,Lainnya,0.4926790842470108
143,"Saya sudah bayar untuk penggantian meteran air yg hilang,tapi tidak dipasang2 alasannya karena stop kran nya kosong..dan ditanyai kira2 sampe kapan tapi tdk tau..disuruh beli sendiri..sudah bayar denda meteran hilang mahal ini disuruh beli stop kran sendiri.gmn ya pelayanannya ini:smirking_face: @pdamsuryasembada",tapi tidak . suruh beli . sudah bayar denda meter hilang mahal suruh beli stop keran . pelayanan,tapi tidak . suruh beli . sudah bayar denda meter hilang mahal suruh beli stop keran . layan,Pelayanan,Lainnya,0.3417169215024935
154,Min kalau ngontrak rumah belum dipasang pdam caranya gimana?karena rumah yang dikontrak warisan,karena rumah kontrak warisan,karena rumah kontrak waris,Pemasangan,Air Tidak Mengalir,0.35489032151819144
158,Min kalau jumlah rumah ada 2 tapi sertifikasi jadi satu bisa gak min,admin rumah ada,admin rumah ada,Lainnya,Harga,0.508065105440762
160,Saya dari agustus 2024 sampai sekarang blm ada tanggapan pasang baru padahal :loudly_crying_face: wes ganti tahun min :loudly_crying_face:,padahal sudah ganti admin,padahal sudah ganti admin,Lainnya,Air Tidak Mengalir,0.39715906705333304
176,Halo min pdam saya warga babatan pratama sudah bayar pergantian keran air yang bocor tapi petugasnya sampai sekarang belum datang tolong dibantu ditindaklanjuti,halo admin pdam warga babatan pratama sudah bayar pergantian keran air bocor,halo admin pdam warga babatan pratama sudah bayar ganti keran air bocor,Harga,Air Tidak Mengalir,0.3888641808926677
177,Air PDAM SBY pusat punyakku keruh  kyk air sumur. Padahal bayarnya larang tp airnya keruh bauk,air pdam surabaya pusat punyaku keruh air sumur .,air pdam surabaya pusat punya keruh air sumur .,Air Kotor/Bau,Lainnya,0.3708348674350389
222,"pak mau tanya no pelanggan 1032499 an Ny. Mustiani Wikanti Pulo Wonokromo Wetan 4 knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A ini sebenarnya udah lama berubah, tapi saya baru diberitahu orang tua saya,. knp seenaknya merubah, ini memberatkan loh, alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost, alasan apa itu, saya harap kembalikan ke gol tarif 2.1 terima kasih","pelanggan nya . pulo wonokromo wetan golongan . tarif berubah . sekarang berubah . sudah lama berubah ,","langgan nya . pulo wonokromo wetan golong . tarif ubah . sekarang ubah . sudah lama ubah ,",Perubahan Kode Tarif,Lainnya,0.6854716948568547
279,":face_with_tears_of_joy::face_with_tears_of_joy:lucu nih , saya tinggal di perum manyar jaya , dari tahun kemarin semenjak pengerjaan gorong"" manyar indah manyar jaya manyar rejo ... Air saya sampai sekarang dari pagi pukul 6 pagi sampai pukul 9 MALAM air mati , baru nyala pukul 21.30 malam bayangkan BERAPA BULAN SAYA MENAMPUNG AIR???? Mau protes telfon saya sdh capek :rolling_on_the_floor_laughing:. Tapi herannya kalau libur NASIONAL Air saya kok nyala lancar kayak saya dlu tinggal d sini , tetangga saya 30 tahun tinggal disini tidak menggunakan tandon tidak ada maslah!! Semenjak skg kok air jadi buruk jelek sekali tolong diperbaiki ya pdam :smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts: @pdamsuryasembada @pdamsuryasembada","tapi heran libur nasional air hidup lancar , tetangga disini tidak menggunakan tandon tidak ada ! semenjak sekarang air buruk jelek sekali perbaiki pdam","tapi heran libur nasional air hidup lancar , tetangga sini tidak guna tandon tidak ada ! semenjak sekarang air buruk jelek sekali baik pdam",Air Tidak Mengalir,Harga,0.31174357856813695
284,"Siang @pdamsuryasembada sy tinggal di bulak rukem timur, air di daerah sy debitnya kecil cenderung tdk keluar, sy sdh pernah lapor bebetapa kali & sdh di datangi, tp tetap saja tdk lancar, pernah sy tny kenapa, ktnya ada galian, minggu kemarin memang ada keluar 1 hr saja selanjunya mengecil lagi & airnya sangat keruh","tapi tetap tidak lancar , , katanya ada galian , memang ada keluar mengecil air sangat keruh","tapi tetap tidak lancar , , kata ada gali , memang ada keluar kecil air sangat keruh",Air Tidak Mengalir,Lainnya,0.3971281575086078
298,Mohon info kalau pengaduan karena kena pinalty kemana,karena kena penalti,karena kena penalti,Pelayanan,Pemasangan,0.3807802587749235
329,"Min, sambikerep mati airnya tapi gk ada pemberitahuan. pagi2 pula wktunya masak,sekolah,kerja :disappointed_face:","tapi ga ada pemberitahuan . pagi masak , sekolah , kerja","tapi ga ada pemberitahuan . pagi masak , sekolah , kerja",Pelayanan,Air Tidak Mengalir,0.7636420759181295
343,"Tlfon cs ga bisa, wa cs ga ada respon. tapi sampai skrg air blm keluarrrrrrrrr",tapi sampai sekarang air belum keluar,tapi sampai sekarang air belum keluar,Air Tidak Mengalir,Pelayanan,0.7652813150444028
362,"min aku lg bangun rumah di sby utara (bukan yg kampung padat penduduk). mau masang PDAM dibilang gk bisa masuk rumahku PDAM nya. bisa masuk disuruh bayar 23JUTA. tolong bantuannya. padahal kanan kiti, bahkan kakak ku uda lama disitu ya pakek PDAM bisa.",admin bangun rumah surabaya utara bukan kampung padat penduduk . pasang pdam bilang ga masuk rumah pdam nya . masuk suruh bayar juta . bantu .,admin bangun rumah surabaya utara bukan kampung padat duduk . pasang pdam bilang ga masuk rumah pdam nya . masuk suruh bayar juta . bantu .,Pemasangan,Lainnya,0.38326544296733617
362,"min aku lg bangun rumah di sby utara (bukan yg kampung padat penduduk). mau masang PDAM dibilang gk bisa masuk rumahku PDAM nya. bisa masuk disuruh bayar 23JUTA. tolong bantuannya. padahal kanan kiti, bahkan kakak ku uda lama disitu ya pakek PDAM bisa.","padahal kanan , kakak ku sudah lama situ pakai pdam .","padahal kanan , kakak ku sudah lama situ pakai pdam .",Pemasangan,Pemakaian,0.26484478322023836
365,"Didepan rumah ada kebocoran pipa,sampai airnya keluar terus,sudah dilaporkan diiyain aja,,terus laporan lagi Sama orang yang biasanya ngecek meteran dari rumah ke rumah,tetapi aja TDK ada tindakan udah hari ketiga setelah difoto sama orang PDAMnya sendiri tapi belum ada tindakan",tapi belum ada tindakan,tapi belum ada tindak,Pelayanan,Air Tidak Mengalir,0.6645787498050323
390,"Mau tanya.pengajuan pemasangan tgl 19 maret sudah disurvey.tapi sampai sekarang tidak ada kejelasan,dipasang kapan nya.",. pengajuan pemasangan tanggal maret sudah di suvey .,. aju pasang tanggal maret sudah di suvey .,Pemasangan,Pelayanan,0.39798000888360197
397,lahhh saya sudah buat laporan tapi belum ada tindakan sampek sekarang:crying_face:,tapi belum ada tindakan sampai sekarang,tapi belum ada tindak sampai sekarang,Pelayanan,Air Tidak Mengalir,0.6131898091409533
403,"Tagihan bengkak..karna ada perbedaan golongan tarif. Ukuran tanah+rumah+lebar gang sama..tp golonongan tarif berbeda. Sudah komplain,ditangani ..disurvey lokasi..tp tetap ga bs rubah golongan. Alasan..listrik katay 1300..padhal..dr mulai pasang listrik smp skrg,,dr PLN listriky 900(bukti pembayaran rekening listrik). Komplain lsg ke cs di ksntor pdam,, tp tetap ga bs kasih pnjelasan,knp gol tarif pdam saya beda dg rmh2 sblh. Akhiry di ajak ke ruangan,,ktm sm pimpinany. Dr pimpinan di cek..jg ga bs ksih pnjelsan. Ujung2 nya..katay ini dr sistem..pengkinian data ato apa. Yg katay nnt akan sm sma dg tarif golongan pdam saya. Cm saya heran,,knp dr 2017...cm rmh saya yg kena pengkinian dara,,sdg lainy tdk. Tlg mgkin ada yg bs bntu jwb:folded_hands:","tapi tetap ga rubah golong . alasan . listrik katanya . padhal . pasang listrik sampai sekarang , pln listriknya bukti pembayaran rekening listrik . komplain pelayanan pelanggan kantor pdam ,","tapi tetap ga rubah golong . alas . listrik kata . padhal . pasang listrik sampai sekarang , pln listrik bukti bayar rekening listrik . komplain layan langgan kantor pdam ,",Harga,Pemasangan,0.4414309309081244
433,"Pdam tolong ya perumahan kencana residence kalilom lor indah,klo siang airnya tdk pernah nyala,malam nyala di atas jam 9 tp ini tdk nyala,gimana mau kerjaa,saya sdh tahan2 dr lama ini","tapi tidak hidup , kerjaa , sudah tahan lama","tapi tidak hidup , kerjaa , sudah tahan lama",Air Tidak Mengalir,Lainnya,0.5168454119719278
442,Mohon bantuannya untuk pembatalan pengaduan PDAM karena sudah teratasi bagaimana ya :folded_hands:,mohon bantu pembatalan pengaduan pdam,mohon bantu batal adu pdam,Pelayanan,Lainnya,0.6267304444004915
449,"Pak air di pulosari mati, tapi tidak ada pemberitahuan ya?",tapi tidak ada pemberitahuan ?,tapi tidak ada pemberitahuan ?,Pelayanan,Lainnya,0.5688037923975172
454,"air mati sebelum masuk meteran tetapi tidak ada tindakan yang baik dari pihak PDAM, pelaporan hanya cmn bertugas melapor tanpa ada konfirmasi pengerjaan yg jelas, laporan setelah tinjau pun tidak akurat, kacau",air mati masuk meter,air mati masuk meter,Air Tidak Mengalir,Kebocoran,0.5424110005619576
456,"Halo, saya sudah mengajukan pengaduan karena air PDAM mati lewat WA, Web, dan DM. Tolong segera ditanggapi ya. Terimaksih","karena air pdam mati whatsapp , web , pesan . ditanggapi . terima kasih","karena air pdam mati whatsapp , web , pesan . tanggap . terima kasih",Air Tidak Mengalir,Pelayanan,0.4210759787918556
457,"TOLONG YA! JAMAN UDAH CANGGIH. KENAPA SIH HARUS ADA PETUGAS CEK METERAN PDAM? MANA MAIN MASUK PAGAR, PADAHAL PAGAR UDAH DI GRENDEL. TOLONG PETUGAS YG DI DAERAH GADING ITU.","! jaman sudah canggih . sih harus ada petugas cek meter pdam ? main masuk pagar ,","! jaman sudah canggih . sih harus ada tugas cek meter pdam ? main masuk pagar ,",Lainnya,Pelayanan,0.29448469291442314
457,"TOLONG YA! JAMAN UDAH CANGGIH. KENAPA SIH HARUS ADA PETUGAS CEK METERAN PDAM? MANA MAIN MASUK PAGAR, PADAHAL PAGAR UDAH DI GRENDEL. TOLONG PETUGAS YG DI DAERAH GADING ITU.",padahal pagar sudah kunci . petugas daerah gading .,padahal pagar sudah kunci . tugas daerah gading .,Pelayanan,Air Tidak Mengalir,0.38320524636828657
458,Pdam mati jam 3 tapi tidak ada pemberitahuan:woman_facepalming::woman_facepalming:,pdam mati jam,pdam mati jam,Air Tidak Mengalir,Pelayanan,0.6294191836260701
458,Pdam mati jam 3 tapi tidak ada pemberitahuan:woman_facepalming::woman_facepalming:,tapi tidak ada pemberitahuan,tapi tidak ada pemberitahuan,Pelayanan,Lainnya,0.5688037923975172
460,"@pdamsuryasembada nyalain airnya min , air mati tapi tanpa pemberitahuan, menghambat aktifitas pagi aja :crying_face:","tapi pemberitahuan , menghambat aktivitas pagi","tapi pemberitahuan , hambat aktivitas pagi",Pelayanan,Lainnya,0.7543598773339196
500,"Air PDAM murah tapi butek,percuma cak",air pdam murah,air pdam murah,Harga,Lainnya,0.40291615625006827
514,"Halo kak, kebraon sek suwe ta murupe? Sedangkan gaonok info blas moro2 mati rek","halo kakak , kebraon lama ta hidup ?","halo kakak , kebraon lama ta hidup ?",Air Tidak Mengalir,Lainnya,0.7010802673960622
533,Dari tadi di kolom komen estimasi 1 jam slesai tp smpek jam set 12 belom nyala nih air HMMM,tapi sampai jam set belum hidup air,tapi sampai jam set belum hidup air,Air Tidak Mengalir,Pelayanan,0.5581842065310041
563,"Mbok ngasih pengumuman dulu baru dimatikan min, ini malah sebaliknya bolak balik komplain tp gak diperhatikan sarannya customer, kan klo ada acara perbaikan itu ada planningnya gak grusak grusuk","pengumuman baru mati admin , berkali kali komplain","umum baru mati admin , kali kali komplain",Air Tidak Mengalir,Lainnya,0.6124284163272918
563,"Mbok ngasih pengumuman dulu baru dimatikan min, ini malah sebaliknya bolak balik komplain tp gak diperhatikan sarannya customer, kan klo ada acara perbaikan itu ada planningnya gak grusak grusuk","tapi tidak perhati saran pelanggan , kan ada perbaikan ada rencana tidak buru","tapi tidak perhati saran langgan , kan ada baik ada rencana tidak buru",Pelayanan,Air Tidak Mengalir,0.3326081503882638
589,airnya mati sampai kpn ya? kenapa pemadaman air nya di saat orang sedang mau aktivitas? area terdampak nya kedurus ini mati,sedang aktivitas ? area dampak nya kedurus mati,sedang aktivitas ? area dampak nya kedurus mati,Air Tidak Mengalir,Lainnya,0.5368601265348034
615,Maaf mau tanya pak saya sudah dftar sudah di surve juga tapi belum dapat wa atau pemberitahuan dari kantor untuk pembayaran dan no kontraknya gimana ya pak,maaf sudah daftar sudah survey,maaf sudah daftar sudah survey,Pemasangan,Pelayanan,0.6370567654098354
615,Maaf mau tanya pak saya sudah dftar sudah di surve juga tapi belum dapat wa atau pemberitahuan dari kantor untuk pembayaran dan no kontraknya gimana ya pak,tapi belum whatsapp pemberitahuan kantor pembayaran kontrak,tapi belum whatsapp pemberitahuan kantor bayar kontrak,Pelayanan,Air Tidak Mengalir,0.5869782377034449
635,Di Daerah saya masih kesulitan air. Kalau mau air kita harus nampung air hujan dulu karena belum ada sambungan PDAM masuk ke rumah padahal dekat dengan kota besar bukan di pelosok desa desa. :crying_face:sudah lama seperti ini sedih nya,daerah kesulitan air . air harus menampung air hujan,daerah sulit air . air harus tampung air hujan,Air Tidak Mengalir,Lainnya,0.5559018944803578
641,Pengajuan selalu diundur2 kayabundur2 dari 2024 tapi sampai sekarang blm jelas kendala apanjuga ndak ada info sampai apk cis sdh dihapus,pengajuan selalu undur,aju selalu undur,Pemasangan,Lainnya,0.5919964740964431
653,"karangan wiyung hari ini 7 maret gak keluar,,tapi tetangga kanan kiri air nya normal","karangan wiyung maret tidak keluar ,","karang wiyung maret tidak keluar ,",Air Tidak Mengalir,Lainnya,0.4814875937299465
653,"karangan wiyung hari ini 7 maret gak keluar,,tapi tetangga kanan kiri air nya normal",tapi tetangga kanan kiri air nya normal,tapi tetangga kanan kiri air nya normal,Pelayanan,Air Tidak Mengalir,0.4835463062234799
661,"Mohon maaf, bisa tolong dibantu untuk menindaklanjuti laporan saya tentang air keruh di daerah Ngagel Jaya Selatan. Tgl 26 Februari saya sudah lapor via WA dan tgl 4 Maret saya lapor lagi via WA. Mohon jadi perhatian ya untuk kualitas air, karena kamu gunakan untuk kebutuhan sehari-hari. Terima kasih :clapping_hands_light_skin_tone:","mohon maaf , bantu menindaklanjuti laporan air keruh daerah ngagel jaya selatan . tanggal februari sudah lapor via whatsapp tanggal maret lapor via whatsapp . mohon perhatian kualitas air ,","mohon maaf , bantu menindaklanjuti lapor air keruh daerah ngagel jaya selatan . tanggal februari sudah lapor via whatsapp tanggal maret lapor via whatsapp . mohon perhati kualitas air ,",Air Kotor/Bau,Air Tidak Mengalir,0.44075675640575923
661,"Mohon maaf, bisa tolong dibantu untuk menindaklanjuti laporan saya tentang air keruh di daerah Ngagel Jaya Selatan. Tgl 26 Februari saya sudah lapor via WA dan tgl 4 Maret saya lapor lagi via WA. Mohon jadi perhatian ya untuk kualitas air, karena kamu gunakan untuk kebutuhan sehari-hari. Terima kasih :clapping_hands_light_skin_tone:",karena gunakan kebutuhan sehari . terima kasih clapping terang,karena guna butuh hari . terima kasih clapping terang,Lainnya,Air Tidak Mengalir,0.47890937829672997
673,"min tlg d cek,q mau byr tagihan ini tp koq GK bisa kluar tagihan nya,katanya pembayaran periode 1 mulai tgl 1-15,lah skrg msh tgl 14 koq GK bisa kluar tagihan nya,tlp ke cs malah d suruh byr tgl 16 saja sekalian byr tagihan bulan selanjutnya","admin cek , bayar tagihan","admin cek , bayar tagih",Harga,Pelayanan,0.5375716452597088
693,"Punya saya meteran mati, sudah TTD di aplikasi tapi petugas sampai skrg gak ada lanjutan min","meter mati , sudah tanda tangan aplikasi","meter mati , sudah tanda tangan aplikasi",Meteran (Macet/Bermasalah),Pelayanan,0.7174958383567298
