comment_text;final_data;predicted_aspect;similarity_score
Halo kak, saya sudah pernah komplain disini, saya sudah melaporkan meteran rusak per tanggal 23 Januari 2025, petugas lapangan datang 2X untuk mengecek meteran. TAPI SAMPAI SEKARANG BELUM ADA PENGGANTIAN?????;halo kak komplain sini lapor meter rusak tanggal januari tugas lapang datang x ecek meter ganti;Meteran (Macet/Bermasalah);0.18452885188330048
Info min sy juga sudah Pengaduan Pelanggan loh via Apk kok belum ada respon? Sy sempat DM dulu pernah juga tidak ada respon dialihkan ke Call Center TLP/WA, klo WA tidak ada layanan chat dg CS langsung?;informasi admin adu langgan loh via aplikasi respon pesan tidak respon alih call center tlpwa whatsapp tidak layan chat layan langgan;Pelayanan;0.3334321684184413
pak mau tanya no pelanggan 1032499 an Ny. Mustiani Wikanti Pulo Wonokromo Wetan 4 knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A ini sebenarnya udah lama berubah, tapi saya baru diberitahu orang tua saya,. knp seenaknya merubah, ini memberatkan loh, alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost, alasan apa itu, saya harap kembalikan ke gol tarif 2.1 terima kasih;langgan an nya mustiani wikanti pulo wonokromo wetan golong tarifny ubah ubah a golong tarifny ubah ubah a ubah diberitahu tua enak rubah berat loh alas rubah tugas keliling meter bilang rumah buat kost alas harap kembali golong tarif terima kasih;Lainnya;0.03015896284444408
Alhamdulillah sore ini ( tgl 1742025) rumah saya di daerah Rungkut Menanggal Harapan sdh di ganti meterannya dan Sdh menerima bukti penggantian meteran. Terima kasih;alhamdulillah sore tanggal rumah daerah rungkut tanggal harap ganti meter terima bukti ganti meter terima kasih;Meteran (Macet/Bermasalah);0.13650558578981495
Kelurahan benowo kapan kak???;lurah benowo kak;Lainnya;0.0
Kak saya warga Dukuh Kupang, PDAM yg mengalir kecil sekali, padahal dulu ga seperti ini, semenjak pengerjaan gorong2 yg di depan kampus WK itu malah makin parah air mengalir nya, Tp tagihan tetep banyak;kak warga dukuh kupang pdam alir kecil ga semenjak kerja gorong kampus parah air alir nya tagih;Air Tidak Mengalir;0.18954088717737383
Meter baru merk ONDA sering terjadi pengembunan sehingga agak sulit dibaca. Meter lama yg bahan dan kualitas lebih baik, mangapa harus diganti?;meter merk onda embun agak sulit baca meter bahan kualitas mangapa ganti;Meteran (Macet/Bermasalah);0.20244720243067268
"Saya sudah di kunjungi 3x oleh petugas pdam selama 3 tahun terakhir, yg katanya ""Meteran Bakal di Ganti yg Baru "" bahkan petugas ketiga yg datang saya titipkan pesan ""bukan hoax"" kan, karena terakhir petugas yg datang ternyata cuma omon omon saja. Jd saya sdh gk perduli, mau di ganti silahkan gak di ganti jg gpp. Toh selama ini meteran air sy lancar2 saja, walau agak berembun dan angkanya sulit terbaca. Toh selama ini tiap bulan bayar aor murah2 saja :folded_hands:";kunjung x tugas pdam kata meter ganti tugas datang titip pesan bukan isu bohong kan tugas datang omon omon ga duli ganti silah tidak ganti tidak apa meter air lancar agak embun angka sulit baca bayar aor murah;Meteran (Macet/Bermasalah);0.15721577070875148
Kelurahan bulak tidak ada ya?;lurah bulak tidak;Lainnya;0.0
Sore,air di daerah Pandegiling keruh berwarna coklat kak mulai kemaren 24 feb;soreair daerah pandegiling keruh warna coklat kak feb;Air Kotor/Bau;0.2171626419854142
@pdamsuryasembada ini omong kosong ya sepertinya, ditempat saya mulai jam 6 pagi sampai jam 19 air tidak normal, bahkan bisa tidak keluar sama sekali, saat meteran rusak, diambil rata2 penggunaan penghuni rumah, sangat tidak fair, kecuali kalau air pdam m;omong kosong tempat jam pagi jam air tidak normal tidak keluar meter rusak ambil huni rumah tidak fair air pdam m;Meteran (Macet/Bermasalah);0.09358321262540406
@pdamsuryasembada meteran saya sudah diganti, tapi air malah macet, apakah karena saya belum bayar? saya belum bayar karena ada LONJAKAN TAGIHAN TIDAK WAJAR  Saat meteran rusak , masak bisa sampai 2x tagihan rata-rata per Bulan, mohon segera ditindak lanj;meter ganti air macet bayar bayar lonjak tagih tidak wajar meter rusak masak x tagih mohon tindak lanj;Meteran (Macet/Bermasalah);0.2613326809004992
Min mau pengaduan gimana gak ada respon @pdamsuryasembada tagihan bln ini kok tbtb membengkak pdhal bertahun tahun gk pernah air sampai habis ratusan ribu;admin adu tidak respon tagih tiba tiba bengkak tahun ga air habis ratus;Pelayanan;0.12268070337738368
Daerah kutorejo pacet kok berbusa airnya dan berwarna seperti susu;daerah kutorejo pacet busa air warna susu;Air Kotor/Bau;0.15691081777244567
Info min....air disekitaran Kebraon kok siang ini tdk mengalir ya??apakah ada perbaikan;informasi mair sekitar kebraon siang tidak alir ya apakah baik;Air Tidak Mengalir;0.07878084108274833
Apakah pengantian meteran pdam masih gratis atau berbayar ?;anti meter pdam gratis bayar;Harga;0.2530689244483215
Pak maaf memang untuk daerah dukuh kupang timur apa aliran nya kecil nggeh;maaf memang daerah dukuh kupang timur alir nya kecil;Air Tidak Mengalir;0.1790335418901608
Sambikerep tdk ada?;sambikerep tidak;Lainnya;0.0
Ok...terima kasih;ok terima kasih;Lainnya;0.0
Wil dinoyo kel keputran air kok keluarny kecil ya,, ad apa ni;wil dinoyo lurah keputran air keluarny kecil;Air Tidak Mengalir;0.0807112853553116
Meteran air di rumah saya kok g ada ya,,;meter air rumah ga;Meteran (Macet/Bermasalah);0.10377481468207436
Hari ini, barusan jam 14.45 WIB air mati di daerah Kebraon. Tolong petugas cek ke lapangan @pdamsuryasembada;barusan jam air mati daerah kebraon tugas cek lapang;Air Tidak Mengalir;0.05444571318029364
Min knp ya kok air rumah saya tiba” pembayaran naek ya drastis bgt padahal rumah klo sering kluarin air cuma malem karena ngisi ke rumah atas biasanya saya kena nya 90k an gak sampe 100k ini semalem bayar kenanya hampir 150k ? Ada kenaikan harga apa gimana ? Klo emg ada knp gak ada info yaaa;admin air rumah bayar naik drastis banget rumah keluar air malam isi rumah kena nya an tidak semalem bayar kena hampir naik harga tidak informasi;Harga;0.15643382406906603
Sya mengajukan hanya disurvei smpai sekarang tdk ada tindakan. Bagaimana?;aju di survey tidak tindak;Pemasangan;0.4070775852184265
Area siwalankerto apa bs pengajuan peremajaan meteran  @pdamsuryasembada ?;area siwalankerto aju remaja meter;Pemasangan;0.18288293468529743
Pak air dirmh  saya kluarnya sangat kecil  sekali, lebih deras uang yg mengalir dri dompet saya, tolong  di tinjau pak kenapa airnya sangat kecil  sekali . Kebetulan saya tinggal di wonokromo @pdamsuryasembada;air dirmh kluarnya kecil deras uang alir dompet tinjau air kecil wonokromo;Air Tidak Mengalir;0.1928137867837193
Air petemon 3 mati;air ton mati;Air Tidak Mengalir;0.0901973273234905
Sakben maghrib banyune buko makane g mancur?? Opo sanyomu rusak gak kuat nyemprot sampek kapas gading madya?;sakben maghrib air buko makane ga mancur sanyomu rusak tidak kuat nyemprot kapas gading madya;Meteran (Macet/Bermasalah);0.06571948159157996
Sudah 2 bulan semenjak METERAN DIGANTI BARU kenapa tagihan air dirumah saya jadi naik 6x lipat!! Parah banget sih!;semenjak meter ganti tagih air rumah naik x lipat parah sih;Harga;0.15731747225041554
Sore ... Mohon info untuk air dirumah saya keluar nya kecil sekali, dan kadang mati , biasanya keluar air di malam hari saja, tapi ini dr pagi sampe ke pagi lagi gak keluar airnya .?;sore mohon informasi air rumah keluar nya kecil kadang mati keluar air malam pagi pagi tidak keluar air;Air Tidak Mengalir;0.26573015268041844
Kebraon matek banyune woiii;kebraon mati air woi;Air Tidak Mengalir;0.08363052870605969
Min didaerah kelurahan Pradah kalikendal airnya mati, keluar air hanya malam saja dan airnya pelan. Tolong segera ditindak lanjuti;admin daerah lurah pradah kalikendal air mati keluar air malam air pelan tindak lanjut;Air Tidak Mengalir;0.1074843193644613
Area bulak cumpat air e butek min. Tolong di cek dan diperbaiki kualitas airnya;area bulak cumpat air nya keruh admin cek baik kualitas air;Air Kotor/Bau;0.19455358199878148
Hallo min, apa ada gangguan aliran air daerah wonocolo?;hallo admin ganggu alir air daerah wonocolo;Air Tidak Mengalir;0.1080508866694009
Siang min, saya baru aja  d ganti meteran airnya lah tpi kok malah sambungan ada yg bocor dan d kenai biaya 250rb, tetga saya juga bocor dan byar 250 rbu, inid perum pondok maritim balas klumprik;siang admin ganti meter air sambung bocor kena biaya tetga bocor bayar rbu inid perum pondok maritim balas klumprik;Kebocoran;0.15167475207934844
Aliran air daerah mojo tidak lancar, segera ditindaklanjuti daripada kantornya didatangi :fire::fire::fire:;alir air daerah mojo tidak lancar ditindaklanjuti kantor datang;Air Tidak Mengalir;0.10210809835663162
Saya mengajukan surat keberatan tagihan dari bulan januari 2025, krn meter PDAM rusak. Sampai sekarang tidak ada tanggapan. meter pdam yg rusak, masa pelanggan yang harus bayar tagihannya?padahal air yang digunakan tidak sebanyak tagihannya.;aju surat berat tagih januari meter pdam rusak tidak tanggap meter pdam rusak langgan bayar tagihannyapadahal air guna tidak tagih;Meteran (Macet/Bermasalah);0.18239179574222164
Diganti meteran baru tagihan malah lbh banyak :person_facepalming:;ganti meter tagih;Meteran (Macet/Bermasalah);0.22509381757815355
Air mati seharian hidup malam ajja padahal kota besar air mati terus pembayaran naik 100%;air mati hari malam aja kota air mati bayar naik;Harga;0.15113708411832744
Kalau cara pengajuannya pilih apa ya saya;aju pilih;Pemasangan;0.24628688517957864
@pdamsuryasembada kelurahan perak barat ga ada yah min?;lurah perak barat ga yah admin;Lainnya;0.0
@pdamsuryasembada saya sdh kirim surat komplen ke Manajer kaliam sesuai arahan Spv Pak Agus. Katanya 3 hari kerja dihubjngi balik utk feedbacknya. Sampe skrg ga dihubungi tapi di lapangan org PDAM cabut meteran saya. Sy tlp ke Call Center PDAM Sby juga so;kirim surat komplen manajer kaliam arah spv agus kata kerja dihubjngi kali kali feedbacknya ga hubung lapang pdam pergi meter telepon call center pdam surabaya so;Pelayanan;0.09996168299425293
Selamat pagi, mhon info wilayah Medokan ayu apa ada perbaikan ngge?kok airnya mati;selamat pagi mhon informasi wilayah medok cantik baik nggekok air mati;Lainnya;0.04197577992050456
Rungkut kenapa gak ada Min ?;rungkut tidak admin;Lainnya;0.0
Min, aliran air di daerah kejawan mati total, kemarin dan hari ini masih berlanjut, kira-kira apakah dampak dari peremajaan besar-besaran kah? Padahal kejawan tidak ada di list.;admin alir air daerah kejawan mati total lanjut kira kira dampak remaja besar kejawan tidak list;Air Tidak Mengalir;0.17700341725383922
Pelayanan mantap;layan mantap;Pelayanan;0.1740597318412373
Mantab pdam;mantap pdam;Lainnya;0.0
kenapa airnya dalam 3hari ini kok keruh,hampir kyk air beras;air dalam keruhhampir air beras;Lainnya;0.0
Mohon info, Kalau Kran meter bocor kalau TIDAK diputar/dibuka penuh apa ini termasuk perbaikan;mohon informasi keran meter bocor tidak diputardibuka penuh baik;Kebocoran;0.13177195146758616
"Daerah kecamatan Bulak min.. airnya kok keruh + banger.. ga iso gae masak + Korah"" min.. :person_facepalming:";daerah camat bulak admin air keruh banger ga pakai masak korah admin;Air Kotor/Bau;0.06757407218738558
Air di kedungdoro keruh sekali sejak kemarin malam;air kedungdoro keruh malam;Air Kotor/Bau;0.12309751968604125
Di rmh saya sdh 2 bulan ini tagihannya 100rb lbh pdhl penghuninya cima 2 org sehari kerja semua.....kran mati tp meteran muternya kencang banget :see-no-evil_monkey:;rumah tagih hun hari kerja semuakran mati meter muternya kencang sih;Harga;0.06525711089657886
Min, ini stop kran yg dirmh sdh aus Krn usia, sdh diatas 5 th,  apakah juga termasuk bisa diganti??;admin stop keran dirmh aus usia atas th ganti;Meteran (Macet/Bermasalah);0.050242331383461195
Apa ada perbaikan ini? Daerah candi lempung koq tidak ngalir :crying_face:;baik daerah candi lempung tidak alir;Air Tidak Mengalir;0.1131839348768551
Air di Wonokromo kotor butek sedari kemarin sore;air wonokromo kotor keruh dar sore;Air Kotor/Bau;0.2147234665211505
Daerah tegalsari air PDAM ga layak pakai seperti air sungai sudah 2hr ini,sekarang mati;daerah tegalsari air pdam ga layak pakai air sungai inisekarang mati;Lainnya;0.043943458772128415
Mohon ijin menginfokan. Mulai tadi pagi air pdam di daerah Krukah Lama, Kel. Ngagel Rejo, keruh pekat. Mohon bisa segera ditindaklanjuti. Terimakasih.;mohon ijin info pagi air pdam daerah kru lurah ngagel rejo keruh pekat mohon ditindaklanjuti terimakasih;Air Kotor/Bau;0.05520008303224337
Air knp keruhhhh sekaliii.... :crying_face:;air keruh;Air Kotor/Bau;0.24311390589623225
Untuk penggantian Meter diminta bayar vja Indomart, stlah bayar via Indomart katae H+1 br msk, stlah H+1 msk br di Jadwalkan kunjungan....LUAMA, Air sudah bocor deras yg nanggu pemilik rumah. Knp lama skali prosesnya?;ganti meter bayar vja indomart stlah bayar via indomart katae h masuk stlah h masuk jadwal kunjunganluama air bocor deras nanggu milik rumah skali proses;Kebocoran;0.057392185793719776
Min manyar sabrangan air nya kotor;admin manyar sabrangan air nya kotor;Air Kotor/Bau;0.13005851104507235
Assalamualaikum min mau tanya jambangan dan Bibis apakah airnya mati;assalamualaikum admin jambang bibis air mati;Air Tidak Mengalir;0.05763162978595195
Stop kran pdam saya rusak usia sudah 5 tahun lebih, meteran pdam muter terus tanpa dipakai rugi saya. Saya wa pdam sby untuk perbaikan stop kran saya di kenakan biaya Rp 197.580,- Apa iya bayar? :clapping_hands:;stop keran pdam rusak usia meter pdam putar pakai rugi whatsapp pdam surabaya baik stop keran kena biaya rp bayar;Meteran (Macet/Bermasalah);0.16520974293730806
Ketintang airnya mati;ketintang air mati;Air Tidak Mengalir;0.09462543750599733
itu kelurahan Wonorejo Rungkut kah min?;lurah wonorejo rungkut admin;Lainnya;0.0
benowo kpan min;benowo admin;Lainnya;0.0
Sejak perbaikan pipa bocor di made, sampai sekrang kok air kadang ngalir kecil kadang ga kluar. Ini gimana min apa masih ada kendala?;baik pipa bocor made air kadang alir kecil kadang ga keluar admin kendala;Kebocoran;0.2094134393607741
Kalo wonocolo tdk gratis kah?;wonocolo tidak gratis;Harga;0.2053504259501679
Wilayah tanjung perak apakah sedang ada perbaikan?;wilayah tanjung perak baik;Lainnya;0.0
Putat jaya kok gak ikut ya?;putat jaya tidak;Lainnya;0.0
halo @pdamsuryasembada  sy ada wa tp slow respon ya, nomor call centernya jg, operatornya sibuk terus, air ditempat saya mati dari semalam, apa ada solusi untuk pengaduan saya;halo whatsapp slow respon nomor call centernya operator sibuk air tempat mati malam solusi adu;Pelayanan;0.18586303468157256
kalau kran meteran bocor apakah termasuk ?;keran meter bocor;Kebocoran;0.24626724631573496
Air nya agak keruh, mgkin next ada peremajaan saluran air dr pdam kaj ?;air nya agak keruh mungkin remaja salur air pdam kaj;Air Kotor/Bau;0.0742501501496284
Min @pdamsuryasembada  sy sdh WA menu apa yg di pilih?;admin whatsapp menu pilih;Pelayanan;0.11092632848673276
Kelurahan Sambikerep min??? Wes 30 THN meteraku blum diremajakan...;lurah sambikerep admin meter ku remaja;Meteran (Macet/Bermasalah);0.057269007861923585
D tunggu area sby selatan y gaes;tunggu area surabaya selatan teman teman;Lainnya;0.0
Kalau kelurahan baratajaya tidak ada kah?;lurah baratajaya tidak;Lainnya;0.0
Pradah Kalikendal ngga masuk area peremajaan min?;pradah kalikendal tidak masuk area remaja admin;Lainnya;0.0
Dukuh pakis kok gak ada min?;dukuh pakis tidak admin;Lainnya;0.0
Kelurahan morokrembangan kok tidak ada;lurah morokrembangan tidak;Lainnya;0.0
kok Sidotopo tidak ada min??;sidotopo tidak admin;Lainnya;0.0
Info donk air ditempat saya mati dari kemaren,,area sememi bandarejo gg candi;informasi air tempat mati kemarenarea mem bandarejo gang candi;Lainnya;0.04262322787734849
Utk wilayah Pandaan belakang masjid chengho ada ga peremajaan juga utk meteran Air;wilayah pandaan belakang masjid chengho ga remaja meter air;Lainnya;0.04107637293362935
yah kelurahanku ga ada min:crying_face: padahal udah lebih dari 5 tahun dan kaca berembun burem;yah lurah ga admin kaca embun buram;Meteran (Macet/Bermasalah);0.27979215597609863
Caranya gmn min untk mendapatkan penembakan meter air;cara admin dapat tembak meter air;Meteran (Macet/Bermasalah);0.05353330594785967
Sudah laporan ke kantor sampai skrg 2 minggu blom ditanggapin min @pdamsuryasembada;lapor kantor ditanggapin admin;Lainnya;0.0
pk minto tolong akor km PDAM GK keluar  4 hari pk kami ingin mengganti air menyalurkan air dr sumur kami aja pk GK usah pake PDAM pk kalua kami di sini GK bisa mandi gimana pk tolong banyu kami pk :folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::pleading_face::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:;pdam ga keluar ganti air salur air sumur ga perlu pakai pdam ga mandi air;Air Tidak Mengalir;0.05743805131730117
Info lowongan nyaa dong minnn;informasi lowong nya admin;Lainnya;0.0
Kalau untuk menaikkan meter air yg posisinya lebih rendah dari jalan apakah bisa min?;naik meter air posisi rendah jalan admin;Harga;0.09931122031902172
