comment_id,comment_text,segmented_text,tokens_segmented_text,stemmed_segmented_text,true_aspect,predicted_aspect,similarity_score
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH","karena meter rumah macet rusak , tanggal januari sampai sekarang belum ada tindak . pengaduan .","['karena', 'meter', 'rumah', 'macet', 'rusak', ',', 'tanggal', 'januari', 'sampai', 'sekarang', 'belum', 'ada', 'tindak', '.', 'pengaduan', '.']","karena meter rumah macet rusak , tanggal januari sampai sekarang belum ada tindak . adu .",Pelayanan,Air Tidak Mengalir,0.45085868293364045
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH",lalu tagihan januari meter,"['lalu', 'tagihan', 'januari', 'meter']",lalu tagih januari meter,Harga,Harga,0.5219326406595224
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH",tapi tagihan februari meter awal meter .,"['tapi', 'tagihan', 'februari', 'meter', 'awal', 'meter', '.']",tapi tagih februari meter awal meter .,Harga,Harga,0.5071700532833725
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH","padahal sudah lapor meter macet rusak ,","['padahal', 'sudah', 'lapor', 'meter', 'macet', 'rusak', ',']","padahal sudah lapor meter macet rusak ,",Meteran (Macet/Bermasalah),Meteran (Macet/Bermasalah),0.5817598804637678
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH",tapi catatan meter diubah ubah,"['tapi', 'catatan', 'meter', 'diubah', 'ubah']",tapi catat meter ubah ubah,Lainnya,Lainnya,0.7450223867769983
41,"Halo kak, saya sudah pernah komplain disini, saya sudah melaporkan meteran rusak per tanggal 23 Januari 2025, petugas lapangan datang 2X untuk mengecek meteran. TAPI SAMPAI SEKARANG BELUM ADA PENGGANTIAN?????","halo kakak , sudah komplain disini , sudah melaporkan meter rusak tanggal januari , petugas lapangan datang cek meter .","['halo', 'kakak', ',', 'sudah', 'komplain', 'disini', ',', 'sudah', 'melaporkan', 'meter', 'rusak', 'tanggal', 'januari', ',', 'petugas', 'lapangan', 'datang', 'cek', 'meter', '.']","halo kakak , sudah komplain sini , sudah lapor meter rusak tanggal januari , tugas lapang datang cek meter .",Meteran (Macet/Bermasalah),Meteran (Macet/Bermasalah),0.3583522071968086
41,"Halo kak, saya sudah pernah komplain disini, saya sudah melaporkan meteran rusak per tanggal 23 Januari 2025, petugas lapangan datang 2X untuk mengecek meteran. TAPI SAMPAI SEKARANG BELUM ADA PENGGANTIAN?????",tapi sampai sekarang belum ada pergantian ?,"['tapi', 'sampai', 'sekarang', 'belum', 'ada', 'pergantian', '?']",tapi sampai sekarang belum ada ganti ?,Pelayanan,Pelayanan,0.6156681551146622
43,"pak mau tanya no pelanggan 1032499 an Ny. Mustiani Wikanti Pulo Wonokromo Wetan 4 knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A ini sebenarnya udah lama berubah, tapi saya baru diberitahu orang tua saya,. knp seenaknya merubah, ini memberatkan loh, alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost, alasan apa itu, saya harap kembalikan ke gol tarif 2.1 terima kasih","pelanggan nya . pulo wonokromo wetan golongan . tarif berubah . sekarang berubah . golongan . tarif berubah . sekarang berubah . sudah lama berubah ,","['pelanggan', 'nya', '.', 'pulo', 'wonokromo', 'wetan', 'golongan', '.', 'tarif', 'berubah', '.', 'sekarang', 'berubah', '.', 'golongan', '.', 'tarif', 'berubah', '.', 'sekarang', 'berubah', '.', 'sudah', 'lama', 'berubah', ',']","langgan nya . pulo wonokromo wetan golong . tarif ubah . sekarang ubah . golong . tarif ubah . sekarang ubah . sudah lama ubah ,",Perubahan Kode Tarif,Lainnya,0.7278523705051563
43,"pak mau tanya no pelanggan 1032499 an Ny. Mustiani Wikanti Pulo Wonokromo Wetan 4 knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A ini sebenarnya udah lama berubah, tapi saya baru diberitahu orang tua saya,. knp seenaknya merubah, ini memberatkan loh, alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost, alasan apa itu, saya harap kembalikan ke gol tarif 2.1 terima kasih","tapi baru di beri tahu tua , . seenaknya ubah , memberatkan loh , alasan rubah","['tapi', 'baru', 'di', 'beri', 'tahu', 'tua', ',', '.', 'seenaknya', 'ubah', ',', 'memberatkan', 'loh', ',', 'alasan', 'rubah']","tapi baru di beri tahu tua , . enak ubah , berat loh , alas rubah",Lainnya,Lainnya,0.4029128131729567
43,"pak mau tanya no pelanggan 1032499 an Ny. Mustiani Wikanti Pulo Wonokromo Wetan 4 knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A ini sebenarnya udah lama berubah, tapi saya baru diberitahu orang tua saya,. knp seenaknya merubah, ini memberatkan loh, alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost, alasan apa itu, saya harap kembalikan ke gol tarif 2.1 terima kasih",karena petugas keliling meter bilang,"['karena', 'petugas', 'keliling', 'meter', 'bilang']",karena tugas keliling meter bilang,Pemakaian,Pemakaian,0.3376038498499513
43,"pak mau tanya no pelanggan 1032499 an Ny. Mustiani Wikanti Pulo Wonokromo Wetan 4 knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A ini sebenarnya udah lama berubah, tapi saya baru diberitahu orang tua saya,. knp seenaknya merubah, ini memberatkan loh, alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost, alasan apa itu, saya harap kembalikan ke gol tarif 2.1 terima kasih","karena rumah kos , alasan , harap golongan tarif . terima kasih","['karena', 'rumah', 'kos', ',', 'alasan', ',', 'harap', 'golongan', 'tarif', '.', 'terima', 'kasih']","karena rumah kos , alas , harap golong tarif . terima kasih",Perubahan Kode Tarif,Perubahan Kode Tarif,0.6089313418117979
46,"Kak saya warga Dukuh Kupang, PDAM yg mengalir kecil sekali,  dulu ga seperti ini, semenjak pengerjaan gorong2 yg di depan kampus WK itu malah makin parah air mengalir nya, Tp tagihan tetep banyak","kakak warga dukuh kupang , pdam mengalir kecil sekali , ga , semenjak pengerjaan gorong-gorong kampus parah air mengalir nya ,","['kakak', 'warga', 'dukuh', 'kupang', ',', 'pdam', 'mengalir', 'kecil', 'sekali', ',', 'ga', ',', 'semenjak', 'pengerjaan', 'gorong-gorong', 'kampus', 'parah', 'air', 'mengalir', 'nya', ',']","kakak warga dukuh kupang , pdam alir kecil sekali , ga , semenjak kerja gorong-gorong kampus parah air alir nya ,",Air Tidak Mengalir,Lainnya,0.36698703727410065
46,"Kak saya warga Dukuh Kupang, PDAM yg mengalir kecil sekali,  dulu ga seperti ini, semenjak pengerjaan gorong2 yg di depan kampus WK itu malah makin parah air mengalir nya, Tp tagihan tetep banyak",tapi tagihan tetap banyak,"['tapi', 'tagihan', 'tetap', 'banyak']",tapi tagih tetap banyak,Harga,Lainnya,0.4402424759869967
48,"Saya sudah di kunjungi 3x oleh petugas pdam selama 3 tahun terakhir, yg katanya ""Meteran Bakal di Ganti yg Baru "" bahkan petugas ketiga yg datang saya titipkan pesan ""bukan hoax"" kan, karena terakhir petugas yg datang ternyata cuma omon omon saja. Jd saya sdh gk perduli, mau di ganti silahkan gak di ganti jg gpp. Toh selama ini meteran air sy lancar2 saja, walau agak berembun dan angkanya sulit terbaca. Toh selama ini tiap bulan bayar aor murah2 saja :folded_hands:","sudah kunjung petugas pdam , katanya meter ganti baru petugas datang titip pesan bukan isu bohong kan ,","['sudah', 'kunjung', 'petugas', 'pdam', ',', 'katanya', 'meter', 'ganti', 'baru', 'petugas', 'datang', 'titip', 'pesan', 'bukan', 'isu', 'bohong', 'kan', ',']","sudah kunjung tugas pdam , kata meter ganti baru tugas datang titip pesan bukan isu bohong kan ,",Pelayanan,Lainnya,0.35221257591353516
48,"Saya sudah di kunjungi 3x oleh petugas pdam selama 3 tahun terakhir, yg katanya ""Meteran Bakal di Ganti yg Baru "" bahkan petugas ketiga yg datang saya titipkan pesan ""bukan hoax"" kan, karena terakhir petugas yg datang ternyata cuma omon omon saja. Jd saya sdh gk perduli, mau di ganti silahkan gak di ganti jg gpp. Toh selama ini meteran air sy lancar2 saja, walau agak berembun dan angkanya sulit terbaca. Toh selama ini tiap bulan bayar aor murah2 saja :folded_hands:","karena petugas datang . sudah ga peduli , ganti silahkan tidak ganti tidak apa-apa . meter air lancar , agak berembun angka sulit terbaca . bayar air murah","['karena', 'petugas', 'datang', '.', 'sudah', 'ga', 'peduli', ',', 'ganti', 'silahkan', 'tidak', 'ganti', 'tidak', 'apa-apa', '.', 'meter', 'air', 'lancar', ',', 'agak', 'berembun', 'angka', 'sulit', 'terbaca', '.', 'bayar', 'air', 'murah']","karena tugas datang . sudah ga peduli , ganti silah tidak ganti tidak apa . meter air lancar , agak embun angka sulit baca . bayar air murah",Meteran (Macet/Bermasalah),Harga,0.23407011136427675
52,"@pdamsuryasembada meteran saya sudah diganti, tapi air malah macet, apakah karena saya belum bayar? saya belum bayar karena ada LONJAKAN TAGIHAN TIDAK WAJAR  Saat meteran rusak , masak bisa sampai 2x tagihan rata-rata per Bulan, mohon segera ditindak lanj","meter sudah ganti ,","['meter', 'sudah', 'ganti', ',']","meter sudah ganti ,",Meteran (Macet/Bermasalah),Meteran (Macet/Bermasalah),0.3813954188459306
52,"@pdamsuryasembada meteran saya sudah diganti, tapi air malah macet, apakah karena saya belum bayar? saya belum bayar karena ada LONJAKAN TAGIHAN TIDAK WAJAR  Saat meteran rusak , masak bisa sampai 2x tagihan rata-rata per Bulan, mohon segera ditindak lanj","tapi air macet ,","['tapi', 'air', 'macet', ',']","tapi air macet ,",Air Tidak Mengalir,Air Kotor/Bau,0.5361748531576629
52,"@pdamsuryasembada meteran saya sudah diganti, tapi air malah macet, apakah karena saya belum bayar? saya belum bayar karena ada LONJAKAN TAGIHAN TIDAK WAJAR  Saat meteran rusak , masak bisa sampai 2x tagihan rata-rata per Bulan, mohon segera ditindak lanj",karena belum bayar ? belum bayar,"['karena', 'belum', 'bayar', '?', 'belum', 'bayar']",karena belum bayar ? belum bayar,Harga,Harga,0.8729923362162098
52,"@pdamsuryasembada meteran saya sudah diganti, tapi air malah macet, apakah karena saya belum bayar? saya belum bayar karena ada LONJAKAN TAGIHAN TIDAK WAJAR  Saat meteran rusak , masak bisa sampai 2x tagihan rata-rata per Bulan, mohon segera ditindak lanj","karena ada lonjakan tagihan tidak wajar meter rusak , masak sampai tagihan , mohon tindak","['karena', 'ada', 'lonjakan', 'tagihan', 'tidak', 'wajar', 'meter', 'rusak', ',', 'masak', 'sampai', 'tagihan', ',', 'mohon', 'tindak']","karena ada lonjak tagih tidak wajar meter rusak , masak sampai tagih , mohon tindak",Meteran (Macet/Bermasalah),Meteran (Macet/Bermasalah),0.4438457411476622
53,Min mau pengaduan gimana gak ada respon @pdamsuryasembada tapitagihan bln ini kok tbtb membengkak pdhal bertahun tahun gk pernah air sampai habis ratusan ribu,admin pengaduan tidak ada respon tapitagihan tiba tiba membengkak,"['admin', 'pengaduan', 'tidak', 'ada', 'respon', 'tapitagihan', 'tiba', 'tiba', 'membengkak']",admin adu tidak ada respon tapitagihan tiba tiba bengkak,Pelayanan,Air Tidak Mengalir,0.42470020076636256
53,Min mau pengaduan gimana gak ada respon @pdamsuryasembada tapitagihan bln ini kok tbtb membengkak pdhal bertahun tahun gk pernah air sampai habis ratusan ribu,padahal bertahun ga air sampai habis ratusan,"['padahal', 'bertahun', 'ga', 'air', 'sampai', 'habis', 'ratusan']",padahal tahun ga air sampai habis ratus,Harga,Air Tidak Mengalir,0.31066216775750183
63,Min knp ya kok air rumah saya tiba” pembayaran naek ya drastis bgt padahal rumah klo sering kluarin air cuma malem karena ngisi ke rumah atas biasanya saya kena nya 90k an gak sampe 100k ini semalem bayar kenanya hampir 150k ? Ada kenaikan harga apa gimana ? Klo emg ada knp gak ada info yaaa,admin air rumah pembayaran naik drastis banget,"['admin', 'air', 'rumah', 'pembayaran', 'naik', 'drastis', 'banget']",admin air rumah bayar naik drastis banget,Harga,Harga,0.5972418261418029
63,Min knp ya kok air rumah saya tiba” pembayaran naek ya drastis bgt padahal rumah klo sering kluarin air cuma malem karena ngisi ke rumah atas biasanya saya kena nya 90k an gak sampe 100k ini semalem bayar kenanya hampir 150k ? Ada kenaikan harga apa gimana ? Klo emg ada knp gak ada info yaaa,padahal rumah mengeluarkan air malam,"['padahal', 'rumah', 'mengeluarkan', 'air', 'malam']",padahal rumah keluar air malam,Air Tidak Mengalir,Air Tidak Mengalir,0.40415836300428654
63,Min knp ya kok air rumah saya tiba” pembayaran naek ya drastis bgt padahal rumah klo sering kluarin air cuma malem karena ngisi ke rumah atas biasanya saya kena nya 90k an gak sampe 100k ini semalem bayar kenanya hampir 150k ? Ada kenaikan harga apa gimana ? Klo emg ada knp gak ada info yaaa,karena mengisi rumah kena nya tidak sampai semalam bayar kena hampir ? ada kenaikan harga ? ada tidak ada informasi,"['karena', 'mengisi', 'rumah', 'kena', 'nya', 'tidak', 'sampai', 'semalam', 'bayar', 'kena', 'hampir', '?', 'ada', 'kenaikan', 'harga', '?', 'ada', 'tidak', 'ada', 'informasi']",karena isi rumah kena nya tidak sampai malam bayar kena hampir ? ada naik harga ? ada tidak ada informasi,Harga,Pelayanan,0.3773958921016176
70,"Sore ... Mohon info untuk air dirumah saya keluar nya kecil sekali, dan kadang mati , biasanya keluar air di malam hari saja, tapi ini dr pagi sampe ke pagi lagi gak keluar airnya .?","sore . mohon informasi air rumah keluar nya kecil sekali , kadang mati , keluar air malam ,","['sore', '.', 'mohon', 'informasi', 'air', 'rumah', 'keluar', 'nya', 'kecil', 'sekali', ',', 'kadang', 'mati', ',', 'keluar', 'air', 'malam', ',']","sore . mohon informasi air rumah keluar nya kecil sekali , kadang mati , keluar air malam ,",Air Tidak Mengalir,Air Tidak Mengalir,0.28387140289371204
70,"Sore ... Mohon info untuk air dirumah saya keluar nya kecil sekali, dan kadang mati , biasanya keluar air di malam hari saja, tapi ini dr pagi sampe ke pagi lagi gak keluar airnya .?",tapi pagi sampai pagi tidak keluar air . ?,"['tapi', 'pagi', 'sampai', 'pagi', 'tidak', 'keluar', 'air', '.', '?']",tapi pagi sampai pagi tidak keluar air . ?,Air Tidak Mengalir,Air Tidak Mengalir,0.3844668366100207
75,"Siang min, saya baru aja  d ganti meteran airnya lah tpi kok malah sambungan ada yg bocor dan d kenai biaya 250rb, tetga saya juga bocor dan byar 250 rbu, inid perum pondok maritim balas klumprik","siang admin , baru ganti meter air","['siang', 'admin', ',', 'baru', 'ganti', 'meter', 'air']","siang admin , baru ganti meter air",Meteran (Macet/Bermasalah),Meteran (Macet/Bermasalah),0.4449687664082096
75,"Siang min, saya baru aja  d ganti meteran airnya lah tpi kok malah sambungan ada yg bocor dan d kenai biaya 250rb, tetga saya juga bocor dan byar 250 rbu, inid perum pondok maritim balas klumprik","tapi sambungan ada bocor kena biaya , tetangga bocor bayar , ini di perum pondok maritim balas klumprik","['tapi', 'sambungan', 'ada', 'bocor', 'kena', 'biaya', ',', 'tetangga', 'bocor', 'bayar', ',', 'ini', 'di', 'perum', 'pondok', 'maritim', 'balas', 'klumprik']","tapi sambung ada bocor kena biaya , tetangga bocor bayar , ini di perum pondok maritim balas klumprik",Kebocoran,Kebocoran,0.34156197503102637
77,"Saya mengajukan surat keberatan tagihan dari bulan januari 2025, meter PDAM rusak. Sampai sekarang tidak ada tanggapan. meter pdam yg rusak, tapi pelanggan yang harus bayar tagihannya?padahal air yang digunakan tidak sebanyak tagihannya.","mengajukan surat keberatan tagihan januari , meter pdam rusak . sampai sekarang tidak ada tanggapan . meter pdam rusak ,","['mengajukan', 'surat', 'keberatan', 'tagihan', 'januari', ',', 'meter', 'pdam', 'rusak', '.', 'sampai', 'sekarang', 'tidak', 'ada', 'tanggapan', '.', 'meter', 'pdam', 'rusak', ',']","aju surat berat tagih januari , meter pdam rusak . sampai sekarang tidak ada tanggap . meter pdam rusak ,",Meteran (Macet/Bermasalah),Harga,0.5425951082079081
77,"Saya mengajukan surat keberatan tagihan dari bulan januari 2025, meter PDAM rusak. Sampai sekarang tidak ada tanggapan. meter pdam yg rusak, tapi pelanggan yang harus bayar tagihannya?padahal air yang digunakan tidak sebanyak tagihannya.",tapi pelanggan harus bayar tagihan ?,"['tapi', 'pelanggan', 'harus', 'bayar', 'tagihan', '?']",tapi langgan harus bayar tagih ?,Harga,Harga,0.3345993629062857
77,"Saya mengajukan surat keberatan tagihan dari bulan januari 2025, meter PDAM rusak. Sampai sekarang tidak ada tanggapan. meter pdam yg rusak, tapi pelanggan yang harus bayar tagihannya?padahal air yang digunakan tidak sebanyak tagihannya.",padahal air digunakan tidak tagihan .,"['padahal', 'air', 'digunakan', 'tidak', 'tagihan', '.']",padahal air guna tidak tagih .,Harga,Harga,0.34569593713598457
